Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,cluster,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9
2566.0,KOSHI RIVER AT MADHEPURA,BIHAR,-0.38544687800899374,0.801918123026557,0.5630690988452399,0.380307564661077,-0.16940570597046747,-0.045020469560998845,-0.09727948212112165,-0.16166463506339313,-0.1153373025380168,-0.15355921907225487,-0.2096201111639789,-0.14514079134531419,-0.06011155826655716,-0.03602750301071592,-0.031041545066194234,-0.027700679340617828,c1,c2,c5,c2,c1,c2
3137.0,"KOSHI RIVER AT BEERPUR,",BIHAR,-1.3109167192713993,0.7069770619577835,0.5124666587628731,0.9565478391080233,-1.3116541727512552,-0.02995532370775048,-0.09015190257258995,-0.16110494924451083,-0.22258796652357868,-0.16952370856898993,-0.2096201111639789,-0.14946105433194648,-0.04714735947955758,-0.03787227183567695,-0.04859825136073306,-0.02790347370176939,c1,c2,c5,c2,c7,c1
1821.0,DAHA AT SIWAN,BIHAR,-0.755634814513956,0.5170949398202368,0.2594544583510384,0.380307564661077,0.02096903849299828,-0.03748789663437463,-0.02600368663580461,-0.0454738590634271,-0.04383685988097554,-0.07107602333912373,-0.2096201111639789,-0.11921921342552058,-0.04930805927739084,-0.03655457981784764,0.030406926964691643,-0.027700679340617828,c1,c2,c5,c2,c1,c1
4397.0,DAHA RIVER D/S RAJENDRA ROAD BRIDE SIWAN,BIHAR,-0.20035290975651268,0.5170949398202368,0.41126177859813917,0.5723876561433925,0.02096903849299828,-0.03748789663437463,0.020834693254546593,-0.00629585174166592,-0.008086638552454966,0.035353906639110005,-0.11596651039928808,-0.11921921342552058,-0.043906309782807684,-0.03655457981784764,-0.03582973769197755,-0.027700679340617828,c1,c2,c5,c2,c1,c2
2560.0,"D/S DAHA RIVER AT SASAMUSA, GOPALGANJ",BIHAR,-0.940728782766437,-0.6221977930050436,0.2594544583510384,-0.2727647463787955,0.21134378295646233,-0.02995532370775048,0.011670662406434402,-0.13950107663565395,-0.07958708120949619,-0.15621996732171073,-0.2096201111639789,-0.14514079134531419,0.06780186976517207,-0.03718707198640571,0.05434789009360822,-0.0280772974398993,c1,c5,c2,c6,c7,c3
2561.0,"DAHA RIVER AT ITWA BRIDGE,
GOPALGANJ",BIHAR,-0.5705408462614748,-0.24243354872995013,0.006442257939203747,0.45713960125400294,0.21134378295646233,-0.045020469560998845,-0.025494573810909485,-0.12606861698247868,-0.18683774519505808,-0.15355921907225487,-0.2096201111639789,-0.14946105433194648,0.0029808758301741434,-0.03655457981784764,-0.0015143572071971243,-0.027150237503206442,c1,c5,c1,c7,c7,c1
3129.0,DAHA RIVER AT MEERGANJ,BIHAR,-0.20035290975651268,-0.052551426592403375,0.2594544583510384,0.14981145488229863,0.02096903849299828,-0.02995532370775048,0.0060704213325880624,-0.13278484680906633,-0.15108752386653743,-0.15621996732171073,-0.2096201111639789,-0.14082052835868195,-0.01646542235032523,-0.03655457981784764,-0.0031104214157915626,-0.027150237503206442,c1,c2,c1,c5,c1,c2
4292.0,"DAHA AT U/S SASAMUSA, GOPALGANJ",BIHAR,-0.940728782766437,-0.8120799151425904,0.31005689843340517,0.22664349147522456,-0.9309046838243253,-0.045020469560998845,0.008615985457063671,-0.14129207125607732,-0.09746219187375652,-0.16154146382062243,-0.11596651039928808,-0.14946105433194648,-0.03591172053082461,-0.03792497951639012,-0.018273031397438726,-0.02839597429313747,c3,c5,c2,c6,c7,c3
1823.0,"DHOUS AT MADHUVAPUR,
MADHUBANI",BIHAR,-0.38544687800899374,0.8968591840953303,-0.4995821428844656,0.6492196927363183,0.21134378295646233,-0.02995532370775048,-0.10338883601986312,-0.15785877149499347,-0.07958708120949619,-0.08171901633694711,-0.2096201111639789,-0.13650026537204965,-0.02078682194599176,-0.03539501084215785,-0.0031104214157915626,-0.024079351462911354,c1,c2,c5,c7,c2,c1
4405.0,"RIVER DHOUS AT
MADHWAPUR, MADHUBANI",BIHAR,1.095304868010855,1.2766234283704239,-0.3477748226373649,0.2650595097716875,0.02096903849299828,-0.02995532370775048,-0.09422480517175093,-0.14476212333314759,-0.13321241320227714,-0.08171901633694711,-0.3032737119286697,-0.14082052835868195,-0.02726892133949155,-0.03539501084215785,0.0782888532225248,-0.026049353828383675,c1,c4,c4,c4,c5,c5
2559.0,"RAMREKHA RIVER AT HARINAGAR, WEST
CHAMPARAN",BIHAR,-0.5705408462614748,1.2766234283704239,0.2594544583510384,-0.9258370574186681,-1.882778406141649,-0.05255304248762299,-0.08149698454937288,-0.09864401185724586,-0.07958708120949619,0.08856887162822688,-0.2096201111639789,-0.10193816147899148,-0.03375102073299134,-0.03602750301071592,0.030406926964691643,-0.024079351462911354,c2,c2,c5,c2,c4,c4
3130.0,"RAMREKHA RIVER AT U/S HARINAGAR, WEST
CHAMPARAN",BIHAR,-0.5705408462614748,1.2766234283704239,0.2594544583510384,-0.7721729842328156,-0.9309046838243253,-0.05255304248762299,-0.18331954952839724,-0.14632924362601804,-0.15108752386653743,-0.007218065352183481,-0.2096201111639789,-0.11057868745225603,-0.02726892133949155,-0.03613291837214226,-0.007100581937277659,-0.024079351462911354,c1,c2,c5,c2,c4,c4
1822.0,"SIRSIYA AT RAXAUL, EAST
CHAMPARAN",BIHAR,-0.38544687800899374,0.7069770619577835,0.2594544583510384,-1.3868292769762247,-0.7405299393608613,-0.06008561541424721,0.052399688398044146,-0.09987532065878692,0.06341380410458626,0.5675035565302787,-0.2096201111639789,0.023349465133344332,-0.02726892133949155,-0.03265421144507289,0.030406926964691643,-0.024079351462911354,c1,c2,c5,c2,c1,c2
